Species	5434	5865	6559	4992	6048	5502	6393	5968	6544	6198	6139	6036	6933	6649	7333	4890	5464	5977	6532	4724	4527	6412	4802	5090	5460	6216	7331	5299	5163	4942	6552	6882	6439	4932	5853	7602	6848	6526	5489	7111	6150	6825	7273	5721	4796	5421	5406	6572	6667	5949	6785	6733	7572	5791	6483	6893	5919	6406	6636	5974	5304	6068	5642	5815	5981	6050	5894	6886	5260	5357	5531	6713	5366	6533	6738	6366	5816	6538	5034	6221	4989	7583	6864	5116	6034	6175	5941	6498	6051	6398	6639	6148	5744	5038	5220	6557	7141	5339	7241	7336	5280	5422	5355	5822	6531	6958	6652	6450	5933	5943	5670	6462	5634	6176	6631	5426	5536	5840	6641	6274	6320	5463	6404	7067	7367	6685	6282	6507	5770	6448	7361	6995	5940	5922	7013	6954	5348	7313	6430	6016	6492	5296	6432	6003	6506	7024	5273	6494	5842	5104	6563	5469	6514	6227	5958	5614	5858	5271	5596	7136	6500	5528	6056	5551	4954	6373	5188	7028	5716	5644	5859	5335	6238	5918	6458	6968	6550	6746	5347	6114	6298	5326	5138	4471	6401	6601	5699	6459	5343	6791	6946	4848	5454	4893	6962	6026	7363	7135	5772	5206	6038	6363	5802	5656	6128	6299	6782	7324	4889	6992	6387	5945	5599	6378	5639	6978	6732	6064	6865	6270	5404	5131	4691	6860	5841	6660	5594	4806	6000	5177	6384	6258	6376	6130	5821	6969	6004	6689	7628	6226	5398	6792	6457	5843	5562	6565	5354	5990	5936	6119	5264	5921	5950	6717	6528	4744	5893	6460	6420	6854	5702	6454	5857	6405	6913	6977	6379	6955	5257	5168	5064	6527	7021	6961	7174	5849	6914	6909	5913	6797	5513	7279	5980	5926	6041	6570	4757	6295	7325	6389	5430	6407	7577	7029	6447	6487	6383	6924	6947	6620	6449	7296	5162	5318	5870	5018	6496	6488	5620	5660	7194	7371	6780	6284	6303	5910	7128	5428	6875	5944	5449	6883	4793	5427	5333	5032	5942	6540	6859	6029	5123	6979	5960	5866	6679	6072	5200	5703	5664	6164	5578	5554	6110	6779	5899	6705	4951	6318	5328	6265	6098	5733	5477
MeanLength	682.5389830508475	1400.820189274448	511.83613445378154	1936.936170212766	307.0968858131488	1090.0659722222222	803.3535714285714	454.2561403508772	2285.4152046783624	471.55805243445695	933.8733333333333	1285.0642201834862	728.912213740458	383.4321428571429	407.27237354085605	597.6224489795918	787.8671328671329	642.46	258.0733590733591	692.2515723270441	1309.224358974359	606.3557046979865	890.7774193548387	500.7631578947368	409.0327868852459	951.2490842490843	855.4206642066421	933.624060150376	1690.116923076923	898.6498422712933	692.1746575342465	675.1631944444445	495.19844357976655	997.3655172413793	663.5700934579439	864.0460829493088	567.3473684210526	415.4971428571429	1191.660447761194	618.8441064638783	673.1967871485944	430.4269662921348	426.2648221343874	737.8339222614841	930.14332247557	1335.1870967741936	1520.936170212766	917.2841726618705	914.2411347517731	550.4064748201439	314.3358778625954	451.24817518248176	759.8673139158576	686.3576388888889	766.989010989011	394.1198347107438	453.62948207171314	1036.4674329501916	627.9856630824373	704.2576923076923	597.1142857142858	272.4929078014184	371.6127167630058	678.2986577181208	903.1205673758865	770.8411552346571	358.96762589928056	192.0	285.2627450980392	351.8345070422535	429.58098591549293	951.1517241379311	1272.9411764705883	1191.867924528302	305.5916030534351	1475.5873015873017	1676.8961424332344	604.0037037037036	736.0519031141869	698.2063492063492	453.9235880398671	502.8787878787879	547.6654929577464	1053.6420664206642	601.2265193370166	1494.7201257861636	421.88	283.11660777385157	1198.8292682926829	375.95864661654133	760.5441176470588	455.1219512195122	355.47719298245613	696.9230769230769	599.8955223880597	321.162037037037	679.2430555555555	1746.2750716332378	600.5632653061225	456.0695970695971	1266.947194719472	662.0515463917526	300.20940170940173	821.1063829787234	407.1467181467182	798.922077922078	1354.7076923076922	1295.6024844720496	925.7948717948718	1767.8267477203647	1598.2158054711247	798.3003663003662	1199.116129032258	1528.0754716981132	799.9347079037801	1646.6744868035191	375.7795918367347	828.421052631579	570.3714285714286	591.706081081081	1357.1114649681529	496.5	682.0654545454546	394.2153846153846	341.8510638297872	747.4763513513514	470.1098901098901	609.8867924528302	1310.59807073955	914.4911660777385	571.7378277153558	238.55217391304348	825.3356890459364	1481.452887537994	642.5714285714286	679.8294573643411	517.0144927536232	903.6446886446887	273.4937238493724	1382.1701492537313	545.7279151943463	1049.5270758122745	570.3558052434457	251.76470588235293	527.3409961685824	295.18794326241135	1753.303951367781	1363.2307692307693	1211.7373737373737	434.62989323843414	1121.0	571.4981684981685	96.52941176470588	590.2910447761194	358.96356275303646	2178.778409090909	643.9668874172186	595.2450980392157	1977.4694533762058	407.10505836575874	1411.1452702702702	1418.9772727272727	1140.8885017421603	998.1070234113712	1057.8338870431894	838.7352941176471	732.4714285714285	518.1360294117648	1947.700288184438	925.8801261829653	801.871382636656	1348.4192546583852	1122.0243902439024	743.0067567567568	1246.3636363636363	776.6970802919708	377.83076923076925	381.0103806228374	219.61739130434782	567.7222222222222	521.1786941580756	1405.2848664688427	801.5230263157895	869.7905138339921	708.6176470588235	784.9051094890511	741.57299270073	753.1114982578397	735.6140939597316	469.961038961039	467.9366197183099	1838.6424418604652	1193.340425531915	796.3954248366013	476.20996441281136	802.9100346020762	539.1007194244604	626.8695652173913	621.3827586206896	564.115894039735	1086.8934169278996	1281.5817610062893	270.1720430107527	230.0327868852459	807.2142857142857	434.38132295719845	475.1781376518219	691.1196911196911	563.0730897009967	432.05928853754943	824.1491525423729	777.3220858895705	1837.2031746031746	1028.3883161512028	887.9454545454546	878.7194244604317	502.6977777777778	724.9962121212121	629.0869565217391	404.8550724637681	1174.8798449612402	919.4019607843137	546.0978260869565	587.1931818181819	820.2394822006472	777.485401459854	653.2691029900333	618.3508771929825	611.5397489539749	609.3484848484849	916.4592833876221	916.5463917525773	673.01108033241	507.1937716262976	733.0726643598616	319.57089552238807	785.8385826771654	876.1854545454545	517.8571428571429	1033.5671140939598	1874.2712933753944	712.276119402985	612.5762711864406	367.91954022988506	355.22340425531917	499.40549828178695	496.5095785440613	414.8006756756757	391.8987854251012	2266.2972972972975	1533.64265129683	3503.002941176471	668.841059602649	1405.9782608695652	433.7533783783784	316.53913043478263	735.4982078853046	934.3618421052631	696.5189873417721	744.9381818181819	833.3966101694915	610.5874125874126	656.4429065743944	1221.7415384615385	967.567944250871	482.54545454545456	295.33603238866397	336.99152542372883	1019.3387096774194	842.4622950819672	229.95220588235293	1456.7706093189963	922.6332046332046	893.1072664359862	1426.2923076923078	542.7781690140845	744.341726618705	560.7481481481482	1179.4583333333333	814.261744966443	795.5591836734694	912.8592057761733	664.5607142857143	834.7979094076655	2044.427027027027	628.9030100334448	776.2713178294574	1202.1940789473683	513.2510638297872	1161.296943231441	478.0248226950355	405.82671480144404	490.86813186813185	877.5596026490066	420.4874551971326	1669.891812865497	1078.5398550724638	1208.6535714285715	1782.383606557377	651.2913165266107	252.14566929133858	284.0934959349593	1421.1	625.2364864864865	689.7102473498234	1252.2680722891566	686.2259136212624	728.33984375	1045.3491525423728	517.971098265896	458.453125	236.94525547445255	371.3540145985401	1208.9568106312292	663.6928571428572	713.4735099337748	1271.6717325227964	550.9072164948453	408.52941176470586	781.4933333333333	1149.2533783783783	495.3588850174216	1871.0732394366198	816.9174603174603	2358.3441176470587	933.3866666666667	601.5974025974026	616.9367088607595	978.0	857.9572953736655	764.0860215053764	813.6013071895425	1168.2551020408164	745.7393162393163	642.4470588235295	663.225	597.8664259927798	1063.5985915492959	967.007326007326	350.9624060150376	215.71052631578948	1333.1757575757576	348.1048951048951	704.358361774744	1875.546783625731	293.99607843137255	580.8892617449665	1755.8364197530864	496.35510204081635	698.2255892255893	2020.3373134328358	643.14	624.0697674418604
124	558	1245	378	1527	105	600	465	0	1179	258	924	1032	336	309	402	387	873	408	210	405	1302	369	600	501	339	339	0	522	1170	666	462	132	432	999	627	0	249	0	636	0	477	366	393	594	309	645	1491	441	753	246	165	144	747	402	432	252	453	747	462	393	381	255	120	336	750	108	0	0	0	207	0	183	654	1125	0	636	774	489	741	537	681	0	285	906	579	846	423	279	1182	0	690	237	357	447	297	72	663	528	0	390	930	0	300	381	312	225	951	1206	888	414	912	687	768	837	315	1569	264	801	453	0	1347	405	363	297	312	513	324	297	1017	78	252	0	831	1332	333	531	159	807	0	792	546	501	213	237	465	237	1083	1107	738	0	846	417	0	168	360	1614	534	420	2067	141	1398	1026	192	507	882	396	465	219	1605	462	663	867	864	249	609	165	351	75	219	96	522	1353	720	723	549	204	516	318	699	432	132	1263	900	693	249	615	447	144	627	354	864	1176	267	186	531	432	255	693	327	174	438	666	1824	399	750	714	0	513	429	0	609	576	249	507	435	519	585	411	273	603	72	468	363	519	321	129	525	570	258	483	837	453	459	351	99	0	201	294	114	1179	1284	3021	549	1140	384	213	396	912	528	576	771	369	648	1227	879	126	120	336	510	708	201	867	489	765	789	465	627	180	1026	267	516	723	480	534	1908	336	390	1173	309	828	444	0	327	783	120	1578	927	1197	762	504	222	258	1170	186	318	579	531	360	1029	216	210	147	246	564	360	711	843	525	408	450	990	456	1191	549	1986	645	612	240	624	579	306	456	873	0	423	414	432	348	882	285	183	1104	351	486	816	207	480	669	486	261	1461	444	432
127	558	1287	378	1365	105	612	447	75	1086	225	924	1131	423	303	402	270	486	372	210	498	1215	372	606	363	309	348	0	447	1215	666	438	477	366	927	561	0	342	81	636	0	360	366	345	363	321	921	1491	489	771	246	180	144	741	333	516	129	453	747	369	318	207	135	60	0	720	228	99	0	0	207	0	378	729	1044	135	831	750	489	711	510	681	168	198	735	579	720	264	279	1182	99	435	237	357	447	297	72	321	258	84	450	930	0	291	588	312	0	1032	969	678	675	912	459	639	564	279	1479	231	822	567	0	1062	399	474	240	303	501	324	138	771	78	96	0	831	1251	378	531	0	882	0	693	546	513	213	237	447	237	897	1131	309	0	930	420	0	0	360	1743	540	303	1716	90	1398	879	192	249	924	618	468	0	1353	609	546	957	774	285	390	165	0	75	195	96	522	1374	753	627	300	585	507	504	738	123	132	1128	792	699	249	615	294	132	546	444	852	1179	267	114	348	432	255	693	276	174	438	702	1401	399	750	444	195	201	348	0	675	624	324	471	339	660	345	282	273	600	222	411	363	327	585	0	525	750	258	483	891	417	318	243	99	0	78	372	321	1179	1179	3129	549	600	384	123	285	846	513	501	675	369	609	1023	879	0	0	306	510	573	126	936	441	675	423	465	624	180	636	216	273	630	315	618	1836	285	387	1164	219	549	411	273	327	783	96	1578	990	1173	729	504	186	258	1239	225	234	837	438	258	936	141	297	147	246	960	369	711	834	468	408	441	1116	456	1113	639	1974	390	558	294	441	588	357	456	873	87	246	306	417	345	957	138	210	951	336	621	993	102	474	825	480	261	897	327	534
149	189	810	303	750	102	93	129	0	483	138	825	873	0	114	351	0	192	216	0	345	774	0	126	231	0	111	0	255	957	408	78	189	126	171	549	0	0	0	276	0	0	354	0	150	249	117	1011	0	675	0	0	0	726	0	0	0	453	0	0	0	0	0	0	0	384	108	0	0	0	0	0	0	255	495	0	150	612	363	402	0	498	0	0	201	267	0	105	0	1017	0	0	0	0	0	213	0	0	0	0	0	570	0	204	339	0	0	525	843	150	222	66	93	354	156	0	987	114	573	111	126	843	306	153	0	0	282	0	66	111	0	0	0	651	1014	165	0	0	636	0	666	456	84	225	237	0	0	207	930	0	0	528	411	0	0	0	720	291	195	1317	0	864	390	78	243	615	396	300	0	423	258	321	342	531	0	0	147	0	0	0	0	207	930	720	219	0	165	330	135	273	96	0	834	441	531	165	375	0	132	126	0	306	960	0	114	0	354	0	405	0	114	300	180	621	147	174	186	0	0	0	0	345	339	249	222	102	405	342	252	0	315	0	0	0	123	387	0	687	150	0	333	0	150	198	0	0	0	0	219	0	267	921	2439	0	969	297	114	162	504	405	0	639	87	306	258	864	0	0	0	228	237	0	498	231	0	234	135	453	0	330	0	0	354	87	138	807	282	0	705	0	108	312	0	0	606	0	1146	420	639	408	462	0	0	552	0	0	348	459	0	489	0	0	147	0	714	273	357	234	234	408	0	741	366	1137	336	1200	69	0	132	0	81	0	0	705	0	108	0	273	0	474	0	0	417	237	585	213	0	0	96	336	141	471	0	273
157	255	645	126	612	0	0	129	0	882	138	690	669	258	0	354	0	324	120	93	345	942	0	126	231	0	129	0	0	423	342	0	186	216	252	525	0	0	0	90	0	0	360	165	126	156	90	513	0	534	0	0	96	681	0	0	0	393	261	357	102	0	0	0	0	0	0	0	0	0	0	0	0	195	714	0	366	297	489	0	210	504	0	0	537	0	153	0	0	921	0	360	237	0	336	195	0	303	0	0	384	579	0	300	348	0	0	519	981	150	225	453	255	264	0	0	888	0	153	252	318	507	306	153	150	0	270	0	0	0	0	99	0	801	849	114	498	0	174	0	522	540	108	213	183	87	0	288	582	0	0	288	0	0	0	0	555	396	201	1059	0	1341	87	126	102	693	171	300	0	456	372	0	582	582	0	216	0	0	0	0	0	363	648	309	0	159	159	324	297	246	120	0	423	528	159	228	366	165	0	390	111	270	741	0	114	204	303	174	693	0	117	282	513	759	123	507	0	0	0	0	0	225	303	249	204	129	0	339	225	0	336	0	147	132	327	321	0	465	0	0	0	204	129	210	0	0	0	0	183	0	993	789	1716	246	1032	297	105	261	213	528	0	411	87	288	447	810	0	0	0	219	312	0	450	120	0	408	291	432	0	123	129	0	159	0	195	813	0	0	669	0	132	204	0	147	312	0	1353	237	504	408	204	0	0	813	0	183	177	309	0	327	0	144	147	0	423	234	366	534	504	390	0	669	234	1008	429	960	117	0	132	0	0	0	123	369	0	180	0	117	348	501	186	0	372	264	498	192	0	408	171	252	120	645	84	0
197	558	1149	303	1344	171	579	312	234	1437	225	924	1017	306	303	402	183	636	408	93	345	1302	141	684	231	345	372	0	474	1236	666	105	687	432	960	621	0	129	81	636	0	357	366	393	168	408	981	1491	552	753	174	0	144	747	402	525	129	453	528	540	555	249	249	123	462	750	129	0	0	0	207	0	129	684	1125	0	798	810	489	693	510	678	156	177	753	579	1179	264	276	1182	99	657	237	351	447	297	72	666	549	0	450	864	0	291	594	312	198	837	999	525	510	987	525	723	549	207	1533	114	801	453	0	1068	312	465	153	312	390	324	327	663	78	102	0	831	1278	216	531	0	762	0	693	546	612	213	237	465	237	594	927	513	0	993	570	0	0	237	1605	435	303	1944	228	1398	933	192	783	816	642	471	219	1401	462	420	846	768	180	219	288	336	96	219	180	522	1350	753	723	549	546	516	702	675	381	132	1335	798	726	252	513	228	270	477	360	648	1140	267	114	393	432	255	693	276	117	399	714	1692	399	885	729	195	270	411	0	642	627	249	507	444	615	564	282	138	603	144	552	363	489	600	129	525	576	393	483	720	420	474	219	99	0	0	330	108	1263	1308	3099	396	1230	366	213	270	606	528	339	675	261	288	1164	966	126	0	336	363	465	126	1050	294	822	1227	465	624	180	570	453	411	642	309	534	1986	351	294	1020	171	759	456	99	327	714	78	1578	1083	1158	603	504	237	258	1032	249	345	576	486	258	921	0	351	147	246	564	369	696	813	528	408	468	1119	453	1179	549	1824	582	621	240	450	507	291	456	849	330	405	306	525	345	882	258	183	1035	297	684	759	231	480	768	483	261	1257	258	300
238	486	1197	489	1365	120	543	447	117	1020	225	924	1008	204	303	402	378	483	471	210	378	1170	537	684	363	201	456	0	522	1170	666	0	447	432	924	561	0	129	81	504	0	360	366	393	330	537	819	1491	489	771	282	0	102	747	333	525	129	453	570	369	594	222	246	60	120	741	108	0	0	0	207	0	285	582	1104	0	690	651	489	636	576	504	0	177	735	576	627	264	234	1059	228	420	237	357	447	297	72	540	108	78	390	864	0	291	402	312	243	963	981	573	525	909	435	624	456	198	1410	114	801	447	0	1053	312	513	249	201	336	204	69	696	189	96	0	798	978	171	531	138	774	0	693	546	429	213	237	366	0	669	1224	339	0	852	417	0	135	177	1251	504	303	1698	129	1398	768	192	390	870	459	300	219	1230	585	456	936	678	180	396	165	267	75	195	189	522	1389	753	549	234	564	516	369	606	141	132	1173	798	705	252	732	390	306	612	264	939	975	267	114	378	354	198	693	315	195	336	699	1641	246	750	729	0	237	261	0	699	549	249	441	471	660	369	282	207	594	0	375	369	411	321	0	504	654	219	483	552	150	231	87	0	0	0	252	243	1137	1179	3162	549	708	384	213	498	858	528	315	780	303	444	762	879	126	120	336	510	369	114	1017	231	558	309	399	618	171	633	606	0	636	309	534	1920	291	375	786	219	633	399	0	327	747	0	1515	825	1014	603	501	159	258	1296	198	279	561	567	417	921	141	210	147	246	987	351	711	942	525	408	459	1113	456	1095	561	2007	699	378	243	285	519	318	411	765	0	327	315	432	348	957	192	210	1020	351	573	1140	183	480	411	483	261	822	222	432
239	558	1188	378	1368	120	591	447	75	1065	225	906	954	213	303	402	387	351	408	210	378	1197	375	657	363	309	264	0	420	1170	666	315	318	432	858	597	0	105	0	477	0	360	366	393	357	312	768	1443	333	774	276	0	0	747	435	363	129	453	360	567	459	267	126	60	129	531	108	90	0	0	165	0	102	579	1125	213	612	741	573	453	510	504	0	177	882	576	651	234	228	1020	0	678	237	357	429	297	72	474	567	0	450	822	0	300	402	312	243	960	981	813	483	891	603	672	453	207	1416	261	705	303	0	1179	408	507	210	324	336	324	135	765	147	96	0	831	1296	291	531	0	831	0	801	546	390	213	237	135	0	630	1191	264	0	588	417	0	168	216	1524	414	201	1875	228	1398	1020	192	402	864	534	471	198	1224	462	642	729	696	102	294	165	267	0	195	96	522	1404	753	561	381	579	507	135	696	207	114	1128	699	534	252	615	201	132	573	270	879	993	267	114	0	432	255	684	270	195	396	666	1395	156	750	603	0	195	348	0	717	603	249	507	339	633	345	282	177	600	237	468	369	519	321	0	522	582	255	483	627	297	399	291	99	0	96	219	0	1074	1341	3213	549	708	384	0	381	813	528	414	780	288	657	903	879	0	87	336	435	363	126	951	231	819	606	465	624	282	804	414	261	552	309	534	1626	231	384	1032	219	726	399	183	327	780	0	1584	912	1134	579	648	186	90	1206	189	276	582	516	309	909	168	261	147	246	717	486	612	840	507	408	450	1137	456	1098	549	1809	411	534	294	279	531	0	348	759	0	354	315	525	348	957	171	210	1092	351	522	957	231	480	576	483	261	1242	72	276
248	213	1062	345	1509	126	171	300	0	1551	258	729	651	0	222	228	222	645	477	93	384	1083	141	663	312	120	276	0	375	1170	606	0	186	360	573	561	0	129	81	276	0	234	366	393	168	249	627	1422	249	771	0	0	0	747	219	189	0	321	384	462	468	102	0	0	129	312	0	0	0	0	0	0	123	459	1125	0	228	660	489	480	366	504	0	96	723	579	447	171	0	1026	117	651	237	0	405	138	72	183	108	0	0	810	0	276	402	111	0	846	819	540	120	834	351	384	588	207	1614	261	390	165	0	816	312	402	156	312	348	204	66	819	78	0	0	807	906	186	501	0	579	0	693	546	324	0	237	282	129	360	666	90	0	525	0	0	240	0	1170	387	201	1251	0	1386	816	192	396	771	393	300	0	960	435	210	510	561	138	285	165	108	0	0	96	501	801	735	585	0	0	330	135	414	207	0	876	723	633	336	615	168	144	237	0	462	1137	267	114	432	354	0	660	219	195	255	615	936	297	687	306	0	207	189	0	810	333	465	345	213	522	252	261	0	516	180	357	240	315	321	0	423	339	255	435	393	150	231	0	0	0	192	219	333	1089	1050	2613	396	1212	384	249	135	717	396	249	669	105	288	621	840	0	0	168	315	501	0	804	213	243	753	357	459	273	117	216	138	528	114	351	1692	222	285	714	156	363	477	165	327	837	0	1332	657	906	447	222	207	90	714	135	165	684	420	246	255	0	135	147	246	756	369	360	654	219	408	162	1095	456	1032	561	1566	438	0	294	0	366	288	339	414	0	246	306	381	333	882	192	183	453	171	522	783	150	378	435	324	261	891	72	273
